Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Liver weight,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,60 d,Oral gavage,Toxicity Factor Datasets
Gopherus agassizi (Desert Tortoise),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Kidney weight,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Spermatozoa counts/motility,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Testosterone concentation,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-Non-Repro-Sublethal - cellular/biochemical effects,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Brain concentration,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-EXP IND - accumulation,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Brain concentration,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-EXP IND - accumulation,Single dose,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",,Mean days of survival,,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-MORT - toxicity benchmarks,60 d,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"2-AMINO-4,6-DINITROTOLUENE",,LD50,,M,Adult,,60,"0, 200-3175 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets
Thamnophis gigas (Giant Garter Snake),"2-AMINO-4,6-DINITROTOLUENE",,LD50,,F,Adult,,60,"0, 200-5000 mg/kd",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets
Xantusia riversiana (Island Night Lizard),"2-AMINO-4,6-DINITROTOLUENE",,Days of survival,,M,Adult,,60,"0, 15, 24, 38, 60, 95, 150 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets
Xantusia riversiana (Island Night Lizard),"2-AMINO-4,6-DINITROTOLUENE",,Days of survival,,F,Adult,,60,"0, 15, 24, 38, 60, 95, 150 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets
